Chemical name	Distance (lower = more similar)
Benzenesulfonic acid, 4-(phenylthio)-	10
4-methylsulfanylbenzenesulfonic Acid	10
2,3-dichlorobenzenesulfonic Acid	10
2,6-dichlorobenzenesulfonic Acid	10
Sodium 1,1,2,2-tetrafluoro-2-(1,1,2,2,2-pentafluoroethoxy)ethanesulfonate	10
2-iodobenzenesulfonic Acid	10
Potassium 1,1,2,2-tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonate	10
2,2'-Oxybis(tetrafluoroethane-1-sulfonyl fluoride)	10
perfluoroallyl fluorosulfate	10
Trifluoroethenesulfonyl fluoride	10
2,2-Difluoro-2-(fluorosulfonyl)acetic acid	10
Trifluoromethanesulfinyl fluoride	10
NSC291324	10
NSC175782	10
CHLOROSULFANIC ACID	10
2,3,4,5,6-pentachlorobenzenesulfonic acid	10
[(Trifluoromethanesulfonyl)ethynyl]benzene	10
[(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)ethynyl]benzene	10
dichloromethanedisulfonyl dichloride	10
3,4-Dichlorobenzenesulfonic acid	10
METHYL TRICHLOROMETHYL SULFONE	10
3,5-dimethylbenzenesulfonic Acid	10
4-(bromomethyl)benzenesulfonic acid	10
2-bromobenzenesulfonic Acid	10
2,3,3-Trichloro-2-propenesulfonic acid	10
2-Methyl-1-propenyl trifluoromethanesulfonate	10
Potassium trifluoromethanesulphinate	10
Methane, dichloro(methylsulfonyl)-	10
2-Propanesulfonic acid, 1,3-dimercapto-, sodium salt	10
Benzene-1,4-disulfonic acid	10
4-Mercuriphenylsulfonate	10
Rubidium sulfate	10
Trithionate	10
Dithionate	10
Vinyl hydrogen sulphate	10
Ethenesulfonyl fluoride	10
1-Octanesulfinic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, sodium salt	10
1-Heptanesulfinic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, sodium salt	10
Benzene, [bis[(trifluoromethyl)sulfonyl]methyl]-	10
Disulfuric acid	10
Sulfuryl chloride fluoride	10
Ethanesulfonic acid	10
Benzenesulfonic acid, 2,5-dichloro-	10
Methanesulfonyl fluoride	10
Methyl hydrogen sulfate	10
Potassium bisulfate	10
2-Propene-1-sulfonic acid	10
2,4,5-Trichlorobenzenesulfonic acid	10
4-Ethenylbenzenesulfonic acid	10
Benzene-1,3-disulfonic acid	10
Sodium hydrogen sulfate	10
Cyclobutyl trifluoromethanesulfonate	11
1,1,1-Trifluoro-3-(trifluoromethanesulfonyl)propan-2-one	11
1,1-Bis(trifluoromethanesulfonyl)penta-1,3-diene	11
Sulfuric acid--silanol (1/2)	11
1-Methyl-4-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethenyl]benzene	11
Methanesulfonic acid--2,2,3,3-tetrafluoropropan-1-ol (1/1)	11
(Bromomethanesulfonyl)(trifluoro)methane	11
Butan-2-yl trifluoromethanesulfonate	11
Tridecafluorohexane-1-sulfinyl chloride	11
Titanium(3+) hydroxide sulfate (1/1/1)	11
1-Fluoro-3-methoxy-1,1,3,3-tetraoxo-1lambda~6~,3lambda~6~-dithioxane	11
1-Phenylprop-1-en-2-yl trifluoromethanesulfonate	11
PUBCHEM_71370778	11
Methanesulfonic acid--3,3,3-trifluoroprop-1-en-2-ol (1/1)	11
Trifluoromethanesulfinyl bromide	11
Methanesulfonic acid--2,2,3,3,4,4,5,5-octafluoropentan-1-ol (1/1)	11
Zirconium(3+) hydroxide sulfate (1/1/1)	11
3-Chloro-1,1,2,2-tetrafluoro-3-oxopropyl sulfurofluoridate	11
PUBCHEM_71317440	11
Pentan-3-yl trifluoromethanesulfonate	11
Sulfurocyanidic acid--barium (1/1)	11
Terbium(3+) sulfate--water (2/3/1)	11
1,1,2,2-Tetrafluoro-2-[(1,1,2,2-tetrafluoro-4-iodobut-3-en-1-yl)oxy]ethane-1-sulfonyl fluoride	11
PUBCHEM_57347370	11
PUBCHEM_54599707	11
4-Chlorobenzene-1-sulfonic acid--cadmium (1/1)	11
3-(Ethenesulfonyl)benzene-1-sulfonic acid	11
7-Bromonaphthalene-1-sulfonic acid	11
Pent-1-ene-1-sulfonic acid	11
Neodymium sulfate--water (2/3/1)	11
3-Fluoropropyl trifluoromethanesulfonate	11
Praseodymium sulfate--water (2/3/1)	11
Methyl 2,2,2-trifluoroethane-1-sulfonate	11
Chloro(difluoro)methanesulfinyl fluoride	11
1-(Trifluoromethanesulfonyl)-4-[(trifluoromethyl)sulfanyl]benzene	11
3-(Methanesulfonyl)benzene-1-sulfonic acid	11
Cerium(4+) sulfate--water (1/2/1)	11
7-Chloronaphthalene-2-sulfonic acid	11
Trifluoro(trifluoromethanesulfinyl)methane	11
6-Chloronaphthalene-1-sulfonic acid	11
2-(4-Fluorophenyl)ethane-1-sulfonic acid	11
Dichlorosulfamic acid	11
Diphenyl(trifluoromethyl)sulfanium trifluoromethanesulfonate	11
[1,1'-Biphenyl]-3-sulfonic acid	11
Triphenyl[(trifluoromethanesulfonyl)oxy]germane	11
Diphenyliodanium nonafluorobutane-1-sulfonate	11
Samarium(3+) sulfate--water (2/3/1)	11
Europium(3+) sulfate--water (2/3/1)	11
Cerium(3+) sulfate--water (2/3/1)	11
Erbium sulfate--water (2/3/1)	11
Indium sulfate--water (2/3/1)	11
Benzenesulfonic acid--water (1/1)	11
4'-Chloro[1,1'-biphenyl]-4-sulfonic acid	11
2-Bromo-5-methylbenzene-1-sulfonic acid	11
5-Bromo-2-methylbenzene-1-sulfonic acid	11
5-Chloronaphthalene-1-sulfonic acid	11
4-Iodonaphthalene-1-sulfonic acid	11
PUBCHEM_14921804	11
8-Bromonaphthalene-2-sulfonic acid	11
Sulfuryl dibromide	11
Di-tert-butyl(methyl)silyl trifluoromethanesulfonate	11
3-(Ethanesulfonyl)-2,2,3,3-tetrafluoropropanoyl fluoride	11
2-Iodo-5-methylbenzene-1-sulfonic acid	11
(4-Chlorophenyl)methanesulfonic acid	11
5-Bromonaphthalene-1-sulfonic acid	11
Dichloro(methanesulfonyl)methanesulfinyl chloride	11
3,3-Difluoro-2-(fluorosulfonyl)prop-2-enoyl fluoride	11
Sulfurofluoridoite	11
1-Chloro-1,2,2,2-tetrafluoroethane-1-sulfinyl chloride	11
2,3,3-Trichloro-1,1-difluoroprop-2-en-1-yl sulfurofluoridate	11
4-Hydroxyphenyl trifluoromethanesulfonate	11
6-Bromonaphthalene-2-sulfonic acid	11
Phenanthrene-9-sulfonic acid	11
2,2,2-Trifluoroethane-1-sulfonyl fluoride	11
